,full_notation,energy,SCF_steps,magnetism,time_of_calculation
366,100_MOCOM_10_11,-70.565535, 81,3.00,55.52m
367,3_MO_7_11,-60.734579, 51,3.00,29.61m
368,99_MOCOM_6_11,-70.473356, 86,3.00,44.96m
369,5_MOCOM_1_3,-64.856732,144,2.00,91.80m
370,112_MOCOM_5_10,-71.597987, 71,3.00,47.71m
371,6_MOCOM_1_2,-64.841968, 81,2.00,49.12m
372,5_MO_1_4,-59.610326, 63,3.00,47.82m
373,101_MOCOM_7_12,-70.535377, 86,3.00,44.98m
374,4_MO_3_8,-59.585410,109,3.00,69.25m
375,109_MO_3_8,-65.505437, 91,2.00,63.02m
376,13_MOCOM_1_3,-66.260861, 65,1.77,38.85m
377,2_MOCOM_7_8,-63.639377, 45,3.00,34.71m
378,117_MO_11_12,-66.588693, 76,2.00,38.70m
379,6_MO_2_7,-59.657666, 59,3.00,34.26m
380,119_MO_8_3,-66.581054, 81,2.00,55.06m
381,101_MO_4_3,-65.424873,110,1.98,58.48m
382,99_MO_6_7,-65.357112, 96,2.00,52.12m
383,107_MO_5_4,-65.446407,113,2.00,77.00m
384,115_MOCOM_2_8,-71.552944, 75,3.00,37.79m
385,8_MO_1_5,-61.929366, 66,2.00,37.84m
386,10_MOCOM_10_11,-66.099931, 97,1.46,59.99m
387,2_MOCOM_2_6,-63.639377, 45,3.00,26.53m
388,123_MO_4_1,-66.470878, 83,2.00,43.11m
389,127_MOCOM_2_6,-71.618971, 84,3.00,43.60m
390,14_MO_5_6,-60.822133,109,2.00,66.85m
391,7_MOCOM_4_9,-67.273157, 59,2.48,34.18m
392,2_MO_1_3,-58.474671, 54,4.00,42.46m
393,107_MOCOM_7_12,-70.503331, 84,3.00,43.12m
394,1_MO_1_3,-59.456640, 42,4.00,23.95m
395,107_MOCOM_1_2,-70.503331, 84,3.00,57.03m
396,103_MO_8_7,-65.514627, 85,2.00,43.78m
397,119_MOCOM_2_6,-71.628067,103,3.00,71.53m
398,12_MO_9_4,-60.795759,117,2.00,70.57m
399,111_MOCOM_2_3,-71.555187, 81,3.00,42.33m
400,111_MOCOM_7_11,-71.555187, 81,3.00,41.97m
401,103_MOCOM_4_10,-70.611054, 74,3.00,50.58m
402,125_MO_8_2,-66.555267, 98,2.00,51.56m
403,10_MOCOM_4_10,-66.099885,117,1.35,70.26m
404,8_MO_3_8,-61.929366, 66,2.00,49.48m
405,11_MOCOM_11_12,-66.219246, 68,2.77,40.92m
406,120_MOCOM_5_11,-71.650953, 70,3.00,35.89m
407,7_MOCOM_1_4,-67.273157, 59,2.48,34.68m
408,118_MO_6_7,-66.558243, 78,2.00,40.03m
409,118_MO_11_12,-66.558243, 78,2.00,52.60m
410,121_MOCOM_4_10,-71.539628, 68,3.00,34.76m
411,2_MO_2_7,-58.474671, 54,4.00,32.48m
412,5_MO_9_12,-59.610326, 63,3.00,47.89m
413,109_MOCOM_1_5,-70.537412, 75,3.00,38.32m
414,11_MO_2_7,-60.780058, 85,2.00,53.36m
415,132_MO_5_11,-66.493802, 83,2.00,43.31m
416,119_MO_1_6,-66.581054, 81,2.00,55.20m
417,9_MO_1_2,-61.914737, 58,2.00,33.26m
418,118_MOCOM_1_5,-71.569028, 76,3.00,38.72m
419,3_MOCOM_1_2,-65.903095, 57,2.00,33.55m
420,1_MO_1_6,-59.456640, 42,4.00,23.84m
421,98_MO_5_4,-65.469838, 94,1.99,65.25m
422,97_MO_4_5,-65.414821, 84,1.95,44.58m
423,8_MOCOM_2_3,-67.153970, 64,1.00,38.26m
424,1_MO_1_4,-59.456640, 42,4.00,23.76m
425,75_MC_7_12,-68.224528,101,2.00,59.96m
426,59_MC_6_2,-69.344961, 76,2.00,58.49m
427,81_MOCMHnbond_6_2,-69.064968, 74,2.00,43.15m
428,122_MC_8_9,-70.104087, 66,3.00,33.48m
429,66_MOCMHnbond_10_9,-70.106138, 70,2.00,53.36m
